ID,fluxo_AH,Fluxo iOD907
aaggj,2.2440000000000005e-06,5.85516257102871e-06
aagha,-0.2793541805428738,-0.17000340324563684
aaghb,0.0,0.0
aaghc,0.01074247,0.02802981651711176
aaghd,0.0,0.0
EX_00888_,0.0,0.0
aaghe,0.01074247,0.02802981651711176
aaghf,0.0,0.0
aaghg,0.0,0.0
aaghh,0.0,0.0
aaghi,1.699999950308474e-08,0.0
aaghj,0.0,0.0
aagia,0.0,0.0
aagib,-0.5278136678189613,-0.9532046732056745
aagic,0.0,8.791615314984017e-05
aagid,0.01074247,0.02802981651711176
aagie,0.0,0.0
aagif,0.21420011654287383,8.871458440952588e-08
aagig,0.0,0.0
EX_00905_,0.0,0.0
aagih,3.3694e-05,0.0
aagii,0.0,0.0
EX_00906_,0.0,0.0
aagij,6.561999999999947e-06,1.712191479103839e-05
aagja,0.0,0.0
aagjb,0.0,0.0
aagjc,0.0,0.0
aagjd,0.0,0.0
aagje,0.0,0.0
aagjf,0.0,0.0
aagjg,0.0,0.0
aagjh,0.0,0.0
aagji,0.0,0.0
aagjj,0.0,0.0
aahaa,0.0,0.0
EX_00919_,0.0,0.0
aahab,0.0,0.0
EX_00920_,0.0,0.0
aahac,0.0,0.0
EX_00921_,0.0,0.0
aahad,0.0,0.0
EX_00922_,0.0,0.0
aahae,0.0,0.0
EX_00923_,0.0,0.0
aahaf,0.002481286,0.006474301655622792
aahag,0.0,1.734723475976807e-18
EX_00925_,0.0,0.0
aahah,0.0,0.0
aahai,0.0,0.0
EX_00927_,0.0,0.0
aahaj,0.0,0.0
EX_00928_,0.0,0.0
aahba,0.0,0.0
EX_00929_,0.0,0.0
aahbb,0.0,0.0
EX_00930_,0.0,0.0
aahbc,0.0,0.0
EX_00931_,0.0,0.0
aahbd,0.0,0.0
aahbe,0.0,0.0
aahbf,0.0,0.0
EX_00932_,0.0,0.0
aahbg,0.0,0.0
aahbh,-0.20191266907143346,0.0
EX_00935_,0.0,0.0
aahbi,0.0,0.0
EX_00936_,0.0,0.0
aahbj,0.0,0.0
aahca,3.399999983638713e-08,8.871458488486038e-08
aahcb,0.0,0.0
EX_00940_,0.0,0.0
aahcc,-0.06988236580000429,-0.18234086952778955
aahcd,0.0,0.0
aahce,0.0,0.0
aahcf,0.0,0.0
EX_00943_,0.0,0.0
aahcg,0.0,0.0
EX_00944_,0.0,0.0
aahch,0.0,0.0
EX_00946_,0.0,0.0
aahci,0.0,0.01323995974936525
aahcj,0.0,0.0
aahda,0.0,0.0
aahdb,4.132360000496887e-06,1.0826727881338481e-05
aahdc,0.0,0.01323995974936525
aahdd,7.683999999999947e-07,2.004949607655274e-06
aahde,0.21927421534287733,0.0
aahdf,0.0,0.0
EX_00949_,0.0,0.0
aahdg,0.0,0.0
aahdh,0.0,0.0
aahdi,0.0,0.0
aahdj,1.5367999999999895e-06,4.009899215310548e-06
aahea,0.0,0.0
aaheb,0.0,0.0
aahec,0.0,0.0
aahed,2.612559999999982e-06,6.816828666027933e-06
aahee,3.6883199999999746e-06,9.623758116745315e-06
aahef,-1.699999950308474e-08,0.0
aaheg,0.0,0.0
aaheh,0.0,0.0
EX_00951_,0.0,0.0
aahei,0.0,0.0
EX_00952_,0.0,0.0
aahej,0.0,0.0
EX_00953_,0.0,0.0
aahfa,0.0,0.0
aahfb,0.0,0.0
